car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,present_price,mileage,selling_price
Hyundai Venue,Hyundai,Venue,1,581,Dealer,Petrol,Manual,1090500,18,1145000
Hyundai Verna,Hyundai,Verna,1,3900,Dealer,Petrol,Automatic,1458306,17,1190000
Hyundai Verna,Hyundai,Verna,1,5000,Individual,Petrol,Manual,1387500,17.7,816000
Jeep Compass,Jeep,Compass,1,6000,Dealer,Diesel,Automatic,2827500,17.1,2750000
Kia Carnival,Kia,Carnival,1,3000,Dealer,Diesel,Automatic,3491000,14.11,3000000
Kia Carnival,Kia,Carnival,1,14000,Dealer,Diesel,Automatic,3491000,14.11,3525000
Kia Carnival,Kia,Carnival,1,7000,Dealer,Diesel,Automatic,3758500,14.11,3250000
Kia Carnival,Kia,Carnival,1,8800,Dealer,Diesel,Automatic,3399500,14.11,3200000
Kia Seltos,Kia,Seltos,1,9000,Dealer,Diesel,Automatic,1680500,17.8,1525000
Kia Seltos,Kia,Seltos,1,8000,Dealer,Diesel,Manual,1680500,20.8,1450000
Kia Seltos,Kia,Seltos,1,1600,Dealer,Diesel,Manual,1610222,20.8,1925000
Kia Seltos,Kia,Seltos,1,8000,Dealer,Petrol,Manual,1589000,16.8,1275000
Kia Seltos,Kia,Seltos,1,3500,Dealer,Petrol,Automatic,1589000,16.8,1490000
Kia Seltos,Kia,Seltos,1,13000,Dealer,Petrol,Automatic,1610222,16.8,1650000
Kia Seltos,Kia,Seltos,1,8000,Dealer,Petrol,Manual,1589000,16.8,1290000
Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,970000,21,850000
Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,977592,16.5,750000
Mahindra Bolero,Mahindra,Bolero,1,12000,Individual,Diesel,Manual,976500,21,800000
Mahindra Bolero,Mahindra,Bolero,1,10000,Individual,Diesel,Manual,977000,21,600000
Mahindra Bolero,Mahindra,Bolero,1,30000,Individual,Diesel,Manual,977592,16.5,790000
Mahindra Bolero,Mahindra,Bolero,1,15000,Individual,Diesel,Manual,959500,21,650000
Mahindra Bolero,Mahindra,Bolero,1,2500,Individual,Diesel,Manual,977592,15.96,800000
Mahindra Bolero,Mahindra,Bolero,1,2000,Individual,Diesel,Manual,977592,16.5,800000
Mahindra KUV100,Mahindra,KUV100,1,35000,Individual,Diesel,Manual,764550,25.32,786000
Mahindra KUV100,Mahindra,KUV100,1,35000,Individual,Diesel,Manual,764550,25.32,700000
Mahindra Marazzo,Mahindra,Marazzo,1,20000,Individual,Diesel,Manual,1517500,17.3,950000
Mahindra Marazzo,Mahindra,Marazzo,1,8000,Individual,Diesel,Manual,1517500,17.3,950000
Mahindra Marazzo,Mahindra,Marazzo,1,5000,Individual,Diesel,Manual,1428500,17.3,1100000
Mahindra Scorpio,Mahindra,Scorpio,1,15000,Individual,Diesel,Manual,1730985,15.4,675000
Mahindra XUV300,Mahindra,XUV300,1,2000,Individual,Diesel,Manual,1221500,20,800000
Mahindra XUV300,Mahindra,XUV300,1,4713,Dealer,Petrol,Manual,1090500,17,950000
Mahindra XUV500,Mahindra,XUV500,1,2200,Individual,Diesel,Manual,1950000,15.1,1475000
Mahindra XUV500,Mahindra,XUV500,1,10000,Individual,Diesel,Manual,1948500,15.1,1800000
Mahindra XUV500,Mahindra,XUV500,1,20000,Individual,Diesel,Manual,1951000,15.1,1600000
Maruti Alto,Maruti,Alto,1,2200,Dealer,Petrol,Manual,388500,24.7,360000
Maruti Alto,Maruti,Alto,1,5000,Individual,Petrol,Manual,405500,22.05,350000
Maruti Alto,Maruti,Alto,1,10000,Individual,Petrol,Manual,392000,22.05,370000
Maruti Alto,Maruti,Alto,1,5000,Individual,Petrol,Manual,392000,22.05,300000
Maruti Alto,Maruti,Alto,1,1500,Individual,Petrol,Manual,392000,22.05,350000
Maruti Alto,Maruti,Alto,1,11000,Individual,Petrol,Manual,392000,22.05,350000
Maruti Alto,Maruti,Alto,1,5000,Individual,Petrol,Manual,419500,22.05,373000
Maruti Alto,Maruti,Alto,1,5000,Individual,Petrol,Manual,419500,22.05,320000
Maruti Alto,Maruti,Alto,1,5000,Individual,Petrol,Manual,419500,22.05,400000
Maruti Alto,Maruti,Alto,1,7000,Individual,Petrol,Manual,392000,22.05,365000
Maruti Alto,Maruti,Alto,1,5000,Individual,Petrol,Manual,411203,22.05,290000
Maruti Alto,Maruti,Alto,1,10000,Individual,Petrol,Manual,388500,22.05,350000
Maruti Alto,Maruti,Alto,1,10326,Dealer,Petrol,Manual,411203,19.7,350000
Maruti Baleno,Maruti,Baleno,1,1001,Dealer,Petrol,Automatic,869357,19.56,850000
Maruti Baleno,Maruti,Baleno,1,2085,Dealer,Petrol,Manual,855000,21.01,690000
Maruti Baleno,Maruti,Baleno,1,2000,Dealer,Petrol,Manual,855000,21.4,675000
Maruti Baleno,Maruti,Baleno,1,2441,Dealer,Petrol,Automatic,931000,19.56,875000
Maruti Baleno,Maruti,Baleno,1,7124,Individual,Petrol,Manual,867500,21.01,643000
Maruti Baleno,Maruti,Baleno,1,1500,Individual,Petrol,Manual,869357,21.01,624000
Maruti Baleno,Maruti,Baleno,1,30000,Individual,Petrol,Automatic,864500,19.56,890000
Maruti Baleno,Maruti,Baleno,1,3000,Individual,Petrol,Automatic,847500,21.4,800000
Maruti Baleno,Maruti,Baleno,1,20000,Individual,Petrol,Manual,915500,21.01,700000
Maruti Baleno,Maruti,Baleno,1,10000,Individual,Petrol,Automatic,848500,19.56,825000
Maruti Baleno,Maruti,Baleno,1,5000,Individual,Petrol,Manual,847500,21.01,557000
Maruti Baleno,Maruti,Baleno,1,25000,Individual,Petrol,Manual,857000,21.01,700000
Maruti Baleno,Maruti,Baleno,1,3600,Individual,Petrol,Manual,848500,21.01,700000
Maruti Baleno,Maruti,Baleno,1,2400,Individual,Petrol,Manual,833000,21.01,700000
Maruti Baleno,Maruti,Baleno,1,7000,Individual,Petrol,Manual,870500,21.01,750000
Maruti Celerio,Maruti,Celerio,1,8700,Individual,Petrol,Manual,597500,21.63,505000
Maruti Ciaz,Maruti,Ciaz,1,5000,Individual,Diesel,Manual,1159572,26.32,900000
Maruti Ciaz,Maruti,Ciaz,1,10000,Individual,Petrol,Manual,1127000,20.65,950000
Maruti Ciaz,Maruti,Ciaz,1,1685,Individual,Petrol,Manual,1159572,20.65,810000
Maruti Ciaz,Maruti,Ciaz,1,6003,Dealer,Petrol,Manual,1152000,21.56,875000
Maruti Dzire VXI,Maruti,Dzire VXI,1,7151,Dealer,Petrol,Automatic,839000,24.12,790000
Maruti Dzire VXI,Maruti,Dzire VXI,1,8000,Individual,Petrol,Manual,846500,23.26,650000
Maruti Dzire VXI,Maruti,Dzire VXI,1,10000,Individual,Petrol,Manual,824000,23.26,675000
Maruti Dzire VXI,Maruti,Dzire VXI,1,10000,Individual,Petrol,Manual,824000,23.26,550000
Maruti Eeco,Maruti,Eeco,1,2000,Dealer,Petrol,Manual,494500,15.37,437000
Maruti Eeco,Maruti,Eeco,1,8001,Dealer,Petrol,Manual,469500,15.37,425000
Maruti Eeco,Maruti,Eeco,1,5512,Dealer,Petrol,Manual,487500,15.37,465000
Maruti Eeco,Maruti,Eeco,1,20000,Individual,Petrol,Manual,489000,16.11,480000
Maruti Eeco,Maruti,Eeco,1,10000,Individual,Petrol,Manual,475500,15.37,368000
Maruti Eeco,Maruti,Eeco,1,8200,Individual,Petrol,Manual,519500,16.11,410000
Maruti Ertiga,Maruti,Ertiga,1,7400,Dealer,CNG,Manual,1022000,26.08,950000
Maruti Ertiga,Maruti,Ertiga,1,4500,Individual,Petrol,Manual,1075000,19.01,830000
Maruti Ertiga,Maruti,Ertiga,1,5000,Individual,Petrol,Automatic,1034000,17.99,900000
Maruti Ignis,Maruti,Ignis,1,10000,Individual,Petrol,Manual,692000,20.89,535000
Maruti S-Presso,Maruti,S-Presso,1,1000,Individual,Petrol,Manual,495500,21.7,490000
Maruti S-Presso,Maruti,S-Presso,1,4500,Individual,Petrol,Manual,503000,21.7,550000
Maruti S-Presso,Maruti,S-Presso,1,2000,Individual,Petrol,Manual,502545,21.7,450000
Maruti S-Presso,Maruti,S-Presso,1,1200,Individual,Petrol,Manual,482500,21.7,500000
Maruti S-Presso,Maruti,S-Presso,1,5000,Individual,Petrol,Manual,504500,21.7,550000
Maruti Swift,Maruti,Swift,1,1332,Dealer,Petrol,Manual,752000,21.21,625000
Maruti Swift,Maruti,Swift,1,10000,Dealer,Petrol,Manual,773000,22,640000
Maruti Swift,Maruti,Swift,1,35000,Dealer,Petrol,Manual,751000,22,575000
Maruti Swift,Maruti,Swift,1,21005,Dealer,Petrol,Manual,751000,21.21,645000
Maruti Swift,Maruti,Swift,1,1500,Individual,Diesel,Manual,774672,28.4,685000
Maruti Swift,Maruti,Swift,1,15000,Individual,Diesel,Manual,774672,28.4,700000
Maruti Swift,Maruti,Swift,1,10000,Individual,Petrol,Manual,782500,21.21,615000
Maruti Swift,Maruti,Swift,1,5000,Individual,Petrol,Manual,765500,21.21,620000
Maruti Swift,Maruti,Swift,1,9000,Individual,Petrol,Manual,751000,21.21,550000
Maruti Swift,Maruti,Swift,1,5000,Individual,Petrol,Manual,811500,21.21,610000
Maruti Swift Dzire,Maruti,Swift Dzire,1,22200,Dealer,Diesel,Automatic,832947,28.4,790000
Maruti Swift Dzire,Maruti,Swift Dzire,1,76165,Dealer,Diesel,Manual,832947,19.3,350000
Maruti Swift Dzire,Maruti,Swift Dzire,1,18000,Dealer,Petrol,Manual,913000,21.21,800000
Maruti Swift Dzire,Maruti,Swift Dzire,1,45000,Individual,CNG,Manual,718000,26.55,550000
Maruti Swift Dzire,Maruti,Swift Dzire,1,35000,Individual,Petrol,Manual,832947,21.21,670000
Maruti Swift Dzire,Maruti,Swift Dzire,1,1000,Individual,Petrol,Manual,856000,21.21,775000
Maruti Vitara,Maruti,Vitara,1,8600,Dealer,Diesel,Manual,1081500,24.3,1008000
Maruti Vitara,Maruti,Vitara,1,16000,Dealer,Diesel,Automatic,1081500,24.3,1125000
Maruti Vitara,Maruti,Vitara,1,1000,Dealer,Petrol,Manual,1073000,17.03,800000
Maruti Vitara,Maruti,Vitara,1,12000,Dealer,Petrol,Automatic,1098500,18.76,1225000
Maruti Vitara,Maruti,Vitara,1,1000,Dealer,Petrol,Manual,1073000,17.03,1050000
Maruti Vitara,Maruti,Vitara,1,50000,Individual,Diesel,Manual,1081500,24.3,775000
Maruti Wagon R,Maruti,Wagon R,1,9000,Dealer,CNG,Manual,618559,26.6,545000
Maruti Wagon R,Maruti,Wagon R,1,10000,Individual,Petrol,Manual,605000,20.52,500000
Maruti Wagon R,Maruti,Wagon R,1,10000,Individual,Petrol,Manual,617500,20.52,450000
Maruti Wagon R,Maruti,Wagon R,1,7640,Dealer,Petrol,Manual,595000,21.79,460000
Maruti XL6,Maruti,XL6,1,9500,Dealer,Petrol,Automatic,1246000,17.99,1185000
Maruti XL6,Maruti,XL6,1,14000,Dealer,Petrol,Manual,1264500,19.01,1150000
Maruti XL6,Maruti,XL6,1,23000,Dealer,Petrol,Manual,1343000,19.01,1045000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,1,10000,Dealer,Diesel,Automatic,5769000,12.6,4000000
MG Hector,MG,Hector,1,1001,Dealer,Diesel,Manual,1985000,17.41,2000000
MG Hector,MG,Hector,1,20000,Dealer,Diesel,Manual,1937000,17.41,1795000
MG Hector,MG,Hector,1,1005,Dealer,Diesel,Manual,2006500,17.41,1585000
MG Hector,MG,Hector,1,1000,Dealer,Petrol,Manual,1784500,15.81,1488000
MG Hector,MG,Hector,1,4800,Dealer,Petrol,Manual,1784500,15.81,1800000
MG Hector,MG,Hector,1,1000,Dealer,Petrol,Manual,1784500,15.81,1490000
Nissan Kicks,Nissan,Kicks,1,7500,Individual,Diesel,Manual,1400333,20.45,850000
Nissan Kicks,Nissan,Kicks,1,15000,Individual,Petrol,Manual,1371500,14.23,1000000
Renault Duster,Renault,Duster,1,150000,Individual,Diesel,Automatic,1416889,19.87,600000
Renault KWID,Renault,KWID,1,3960,Dealer,Petrol,Automatic,510500,22,550000
Renault KWID,Renault,KWID,1,23323,Dealer,Petrol,Manual,506759,22.3,430000
Renault KWID,Renault,KWID,1,6000,Individual,Petrol,Manual,506759,22.3,450000
Renault KWID,Renault,KWID,1,5000,Individual,Petrol,Automatic,477500,24.04,400000
Renault KWID,Renault,KWID,1,4000,Individual,Petrol,Manual,510500,25.17,429000
Renault KWID,Renault,KWID,1,1200,Individual,Petrol,Automatic,506000,22,450000
Renault KWID,Renault,KWID,1,2300,Individual,Petrol,Manual,474000,25.17,375000
Renault KWID,Renault,KWID,1,25000,Individual,Petrol,Manual,475500,23.01,300000
Renault KWID,Renault,KWID,1,5000,Individual,Petrol,Automatic,551000,24.04,472000
Renault KWID,Renault,KWID,1,10000,Individual,Petrol,Manual,498500,23.01,470000
Renault Triber,Renault,Triber,1,1784,Dealer,Petrol,Manual,750500,20,660000
Renault Triber,Renault,Triber,1,5600,Individual,Petrol,Manual,740000,20,800000
Renault Triber,Renault,Triber,1,4500,Individual,Petrol,Manual,753000,20,770000
Tata Altroz,Tata,Altroz,1,3800,Individual,Petrol,Manual,808000,19.05,730000
Tata Harrier,Tata,Harrier,1,5125,Dealer,Diesel,Manual,2087500,17,1650000
Tata Harrier,Tata,Harrier,1,10000,Individual,Diesel,Manual,1982500,17,1228000
Tata Nexon,Tata,Nexon,1,5000,Individual,Petrol,Automatic,1181914,17,1000000
Tata Nexon,Tata,Nexon,1,5000,Individual,Petrol,Manual,1062500,17,750000
Tata Nexon,Tata,Nexon,1,3500,Individual,Petrol,Manual,1032500,17,650000
Tata Tiago,Tata,Tiago,1,10000,Individual,Petrol,Manual,667500,23.84,535000
Tata Tigor,Tata,Tigor,1,12000,Dealer,Petrol,Manual,754167,20.3,565000
Toyota Camry,Toyota,Camry,1,72000,Dealer,Petrol,Manual,4557120,13.4,345000
Toyota Fortuner,Toyota,Fortuner,1,60000,Dealer,Diesel,Manual,4038500,14.24,2480000
Toyota Fortuner,Toyota,Fortuner,1,6300,Dealer,Diesel,Automatic,4198963,12.9,3650000
Toyota Fortuner,Toyota,Fortuner,1,29000,Dealer,Diesel,Automatic,4440000,12.9,3650000
Toyota Glanza,Toyota,Glanza,1,2500,Dealer,Petrol,Automatic,927000,19.56,875000
Toyota Glanza,Toyota,Glanza,1,2000,Dealer,Petrol,Automatic,927000,19.56,915000
Volkswagen Polo,Volkswagen,Polo,1,18489,Dealer,Petrol,Manual,928383,18.24,700000
Volvo XC,Volvo,XC,1,9500,Dealer,Diesel,Automatic,484250000,17.2,8000000
Volvo XC,Volvo,XC,1,9000,Dealer,Diesel,Automatic,469500000,17.2,8195000
Audi A4,Audi,A4,2,10950,Individual,Diesel,Automatic,5257923,18.25,4200000
Audi Q7,Audi,Q7,2,14000,Dealer,Diesel,Automatic,8060000,14.75,6645000
BMW 3,BMW,3,2,2000,Dealer,Diesel,Automatic,5477000,19.59,4300000
BMW 3,BMW,3,2,10000,Individual,Diesel,Automatic,5477000,22.69,4500000
BMW 5,BMW,5,2,6000,Dealer,Diesel,Automatic,8064000,18.59,5700000
BMW 5,BMW,5,2,18000,Dealer,Diesel,Automatic,7793500,22.48,4500000
BMW 5,BMW,5,2,8100,Dealer,Diesel,Automatic,7793500,18.12,5005000
BMW 5,BMW,5,2,9000,Dealer,Diesel,Automatic,8064000,22.48,5000000
BMW 5,BMW,5,2,10500,Dealer,Diesel,Automatic,7896308,22.48,5000000
BMW 5,BMW,5,2,12000,Dealer,Diesel,Automatic,8064000,22.48,4900000
BMW 5,BMW,5,2,4000,Dealer,Diesel,Automatic,8064000,18.12,5295000
BMW 5,BMW,5,2,5700,Dealer,Petrol,Automatic,6855500,15.01,5475000
BMW 6,BMW,6,2,9000,Dealer,Diesel,Automatic,9111000,17.09,6500000
BMW 6,BMW,6,2,9651,Dealer,Diesel,Automatic,9111000,17.09,6475000
BMW 6,BMW,6,2,17226,Dealer,Petrol,Automatic,7778000,14.28,5000000
BMW 6,BMW,6,2,7500,Dealer,Petrol,Automatic,7665000,14.28,5700000
BMW 6,BMW,6,2,2300,Individual,Diesel,Automatic,8364500,17.09,5899000
BMW X1,BMW,X1,2,22450,Dealer,Diesel,Automatic,4695500,20.68,3011000
BMW X1,BMW,X1,2,40000,Dealer,Diesel,Automatic,5052526,19.62,3450000
BMW X1,BMW,X1,2,10000,Dealer,Diesel,Automatic,5052526,20.68,3200000
BMW X1,BMW,X1,2,15000,Dealer,Diesel,Automatic,5075000,20.68,3250000
BMW X1,BMW,X1,2,10000,Individual,Diesel,Automatic,4817500,20.68,3650000
BMW X3,BMW,X3,2,8620,Dealer,Diesel,Automatic,7503000,18.56,6100000
BMW X4,BMW,X4,2,7099,Dealer,Diesel,Automatic,7880000,14.71,6500000
BMW X4,BMW,X4,2,9500,Dealer,Diesel,Automatic,7804000,16.78,4950000
BMW X4,BMW,X4,2,7500,Dealer,Diesel,Automatic,7800100,16.78,5810000
BMW X4,BMW,X4,2,9850,Dealer,Diesel,Automatic,7804000,16.78,4960000
BMW X4,BMW,X4,2,14000,Dealer,Petrol,Automatic,7640000,11.31,5700000
BMW X4,BMW,X4,2,10000,Individual,Diesel,Automatic,7872500,16.78,5500000
BMW X5,BMW,X5,2,7000,Dealer,Diesel,Automatic,457200000,13.38,7985000
BMW X5,BMW,X5,2,10000,Dealer,Diesel,Automatic,457200000,13.38,8100000
BMW X5,BMW,X5,2,10351,Dealer,Diesel,Automatic,458050000,13.38,8100000
BMW X5,BMW,X5,2,19000,Individual,Diesel,Automatic,8953500,13.38,7900000
Datsun GO,Datsun,GO,2,1041,Dealer,Petrol,Manual,605000,19.02,530000
Datsun GO,Datsun,GO,2,10000,Individual,Petrol,Manual,578000,19.83,444000
Datsun GO,Datsun,GO,2,23000,Individual,Petrol,Manual,597000,19.83,415000
Datsun GO,Datsun,GO,2,11800,Individual,Petrol,Manual,652000,19.83,575000
Datsun GO,Datsun,GO,2,30000,Individual,Petrol,Automatic,563500,19.59,550000
Datsun GO,Datsun,GO,2,3300,Individual,Petrol,Manual,611000,19.83,490000
Datsun RediGO,Datsun,RediGO,2,14322,Dealer,Petrol,Manual,516000,22.7,315000
Datsun RediGO,Datsun,RediGO,2,4646,Dealer,Petrol,Manual,499000,22.7,350000
Datsun RediGO,Datsun,RediGO,2,10000,Individual,Petrol,Manual,430000,22.7,260000
Datsun RediGO,Datsun,RediGO,2,10000,Individual,Petrol,Manual,444000,22.7,320000
Datsun RediGO,Datsun,RediGO,2,2500,Individual,Petrol,Manual,415500,22.7,300000
Datsun RediGO,Datsun,RediGO,2,20000,Individual,Petrol,Automatic,432500,22.5,270000
Ferrari GTC4Lusso,Ferrari,GTC4Lusso,2,3800,Dealer,Petrol,Automatic,54250000,4,39500000
Ford Aspire,Ford,Aspire,2,5837,Dealer,Diesel,Manual,910509,25.83,845000
Ford Aspire,Ford,Aspire,2,30000,Individual,Diesel,Manual,980000,26.1,660000
Ford Aspire,Ford,Aspire,2,50000,Individual,Diesel,Manual,961500,26.1,785000
Ford Aspire,Ford,Aspire,2,40000,Individual,Diesel,Manual,961500,26.1,650000
Ford Aspire,Ford,Aspire,2,40000,Individual,Diesel,Manual,961500,26.1,700000
Ford Ecosport,Ford,Ecosport,2,64000,Dealer,Diesel,Manual,1208500,22.77,850000
Ford Ecosport,Ford,Ecosport,2,10787,Dealer,Diesel,Manual,1197500,21.7,1050000
Ford Ecosport,Ford,Ecosport,2,42000,Dealer,Diesel,Manual,1199000,23,1021000
Ford Ecosport,Ford,Ecosport,2,15000,Dealer,Diesel,Manual,1171863,22.77,875000
Ford Ecosport,Ford,Ecosport,2,5500,Dealer,Diesel,Manual,1196500,23,975000
Ford Ecosport,Ford,Ecosport,2,17000,Dealer,Diesel,Manual,1196500,22.77,925000
Ford Ecosport,Ford,Ecosport,2,14000,Dealer,Diesel,Manual,1198500,23,1245000
Ford Ecosport,Ford,Ecosport,2,11000,Dealer,Diesel,Manual,1196500,22.77,945000
Ford Ecosport,Ford,Ecosport,2,11458,Dealer,Diesel,Manual,1196500,21.7,990000
Ford Ecosport,Ford,Ecosport,2,13050,Dealer,Diesel,Manual,1197500,22.77,875000
Ford Ecosport,Ford,Ecosport,2,36520,Dealer,Diesel,Manual,1171863,22.77,1090000
Ford Ecosport,Ford,Ecosport,2,14000,Dealer,Diesel,Manual,1268000,23,1240000
Ford Ecosport,Ford,Ecosport,2,22346,Dealer,Petrol,Manual,1116000,17,955000
Ford Ecosport,Ford,Ecosport,2,15000,Dealer,Petrol,Automatic,1120500,14.8,1145000
Ford Ecosport,Ford,Ecosport,2,58000,Dealer,Petrol,Manual,1126000,17,790000
Ford Ecosport,Ford,Ecosport,2,10370,Dealer,Petrol,Manual,1160000,17,950000
Ford Ecosport,Ford,Ecosport,2,18000,Dealer,Petrol,Manual,1116000,15.9,990000
